2020-11-26 21:27:32.717 [main] INFO  t.m.m.a.MapperCacheDisabler - Clear tk.mybatis.mapper.util.MsUtil CLASS_CACHE cache.
2020-11-26 21:27:32.718 [main] INFO  t.m.m.a.MapperCacheDisabler - Clear tk.mybatis.mapper.genid.GenIdUtil CACHE cache.
2020-11-26 21:27:32.719 [main] INFO  t.m.m.a.MapperCacheDisabler - Clear tk.mybatis.mapper.version.VersionUtil CACHE cache.
2020-11-26 21:27:32.721 [main] INFO  t.m.m.a.MapperCacheDisabler - Clear EntityHelper entityTableMap cache.
2020-11-26 21:27:32.811 [main] INFO  s.d.s.w.p.DocumentationPluginsBootstrapper - Context refreshed
2020-11-26 21:27:32.832 [main] INFO  s.d.s.w.p.DocumentationPluginsBootstrapper - Found 1 custom documentation plugin(s)
2020-11-26 21:27:32.890 [main] INFO  s.d.s.w.s.ApiListingReferenceScanner - Scanning for api listing references
2020-11-26 21:27:33.121 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8001"]
2020-11-26 21:27:33.159 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8001 (http) with context path '/news/article'
2020-11-26 21:27:33.166 [main] INFO  com.aiolos.news.ArticleApplication - Started ArticleApplication in 51.691 seconds (JVM running for 57.537)
2020-11-26 21:50:21.168 [http-nio-8001-exec-3] INFO  o.a.c.c.C.[.[.[/news/article] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2020-11-26 21:50:21.170 [http-nio-8001-exec-3] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2020-11-26 21:50:21.207 [http-nio-8001-exec-3] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 37 ms
2020-11-26 21:50:21.263 [http-nio-8001-exec-4] WARN  o.s.web.servlet.PageNotFound - No mapping for POST /news/article/queryMyList
2020-11-26 21:50:21.274 [http-nio-8001-exec-4] INFO  c.a.n.c.advice.GlobalExceptionAdvice - No handler found for POST /news/article/queryMyList
2020-11-26 21:50:53.038 [http-nio-8001-exec-6] WARN  o.s.web.servlet.PageNotFound - No mapping for POST /news/article/queryMyList
2020-11-26 21:50:53.042 [http-nio-8001-exec-6] INFO  c.a.n.c.advice.GlobalExceptionAdvice - No handler found for POST /news/article/queryMyList
2020-11-26 22:21:29.457 [http-nio-8001-exec-4] WARN  o.s.web.servlet.PageNotFound - No mapping for POST /news/article/createArticle
2020-11-26 22:21:29.462 [http-nio-8001-exec-4] INFO  c.a.n.c.advice.GlobalExceptionAdvice - No handler found for POST /news/article/createArticle
2020-11-26 22:21:38.014 [http-nio-8001-exec-6] WARN  o.s.web.servlet.PageNotFound - No mapping for POST /news/article/createArticle
2020-11-26 22:21:38.014 [http-nio-8001-exec-6] INFO  c.a.n.c.advice.GlobalExceptionAdvice - No handler found for POST /news/article/createArticle
2020-11-26 22:24:34.617 [http-nio-8001-exec-8] INFO  io.lettuce.core.EpollProvider - Starting without optional epoll library
2020-11-26 22:24:34.621 [http-nio-8001-exec-8] INFO  io.lettuce.core.KqueueProvider - Starting without optional kqueue library
2020-11-26 22:24:40.551 [http-nio-8001-exec-8] INFO  c.a.news.aspect.ServiceLogAspect - ============ 开始执行 class com.aiolos.news.service.impl.ArticleServiceImpl.createArticle ============
2020-11-26 22:24:40.698 [http-nio-8001-exec-8] INFO  c.a.news.aspect.ServiceLogAspect - 当前执行耗时：146
2020-11-26 22:27:39.024 [http-nio-8001-exec-1] INFO  c.a.news.aspect.ServiceLogAspect - ============ 开始执行 class com.aiolos.news.service.impl.ArticleServiceImpl.createArticle ============
2020-11-26 22:27:39.133 [http-nio-8001-exec-1] INFO  c.a.news.aspect.ServiceLogAspect - 当前执行耗时：99
2020-11-26 22:28:09.877 [http-nio-8001-exec-4] INFO  c.a.news.aspect.ServiceLogAspect - ============ 开始执行 class com.aiolos.news.service.impl.ArticleServiceImpl.createArticle ============
2020-11-26 22:28:09.887 [http-nio-8001-exec-4] INFO  c.a.news.aspect.ServiceLogAspect - 当前执行耗时：9
2020-11-26 22:29:39.137 [http-nio-8001-exec-8] INFO  c.a.news.aspect.ServiceLogAspect - ============ 开始执行 class com.aiolos.news.service.impl.ArticleServiceImpl.createArticle ============
2020-11-26 22:29:39.217 [http-nio-8001-exec-8] INFO  c.a.news.aspect.ServiceLogAspect - 当前执行耗时：77
2020-11-26 22:32:31.280 [SpringContextShutdownHook] INFO  o.s.s.c.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2020-11-26 22:32:31.442 [SpringContextShutdownHook] INFO  c.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
2020-11-26 22:33:07.757 [main] INFO  com.aiolos.news.ArticleApplication - The following profiles are active: dev
2020-11-26 22:33:08.654 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2020-11-26 22:33:08.657 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2020-11-26 22:33:08.696 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 23ms. Found 0 Redis repository interfaces.
2020-11-26 22:33:08.836 [main] WARN  o.m.s.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'articleDao' and 'com.aiolos.news.dao.ArticleDao' mapperInterface. Bean already defined with the same name!
2020-11-26 22:33:08.837 [main] WARN  o.m.s.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'commentsDao' and 'com.aiolos.news.dao.CommentsDao' mapperInterface. Bean already defined with the same name!
2020-11-26 22:33:08.837 [main] WARN  o.m.s.mapper.ClassPathMapperScanner - No MyBatis mapper was found in '[com.aiolos.news.dao]' package. Please check your configuration.
2020-11-26 22:33:08.930 [main] INFO  o.s.cloud.context.scope.GenericScope - BeanFactory id=89ff2177-cc7e-3213-8a73-43fa88c0c50e
2020-11-26 22:33:09.630 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8001 (http)
2020-11-26 22:33:09.641 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8001"]
2020-11-26 22:33:09.641 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2020-11-26 22:33:09.641 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.31]
2020-11-26 22:33:09.758 [main] INFO  o.a.c.c.C.[.[.[/news/article] - Initializing Spring embedded WebApplicationContext
2020-11-26 22:33:09.759 [main] INFO  o.s.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 1983 ms
2020-11-26 22:33:09.848 [main] INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure - Init DruidDataSource
2020-11-26 22:33:09.959 [main] INFO  c.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2020-11-26 22:33:36.033 [main] INFO  s.d.s.w.PropertySourcedRequestMappingHandlerMapping - Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2Controller#getDocumentation(String, HttpServletRequest)]
2020-11-26 22:33:36.084 [main] WARN  c.n.c.sources.URLConfigurationSource - No URLs will be polled as dynamic configuration sources.
2020-11-26 22:33:36.084 [main] INFO  c.n.c.sources.URLConfigurationSource - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2020-11-26 22:33:36.089 [main] WARN  c.n.c.sources.URLConfigurationSource - No URLs will be polled as dynamic configuration sources.
2020-11-26 22:33:36.089 [main] INFO  c.n.c.sources.URLConfigurationSource - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2020-11-26 22:33:36.240 [main] INFO  o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-11-26 22:33:36.720 [main] INFO  t.m.m.a.MapperCacheDisabler - Clear tk.mybatis.mapper.util.MsUtil CLASS_CACHE cache.
2020-11-26 22:33:36.721 [main] INFO  t.m.m.a.MapperCacheDisabler - Clear tk.mybatis.mapper.genid.GenIdUtil CACHE cache.
2020-11-26 22:33:36.721 [main] INFO  t.m.m.a.MapperCacheDisabler - Clear tk.mybatis.mapper.version.VersionUtil CACHE cache.
2020-11-26 22:33:36.722 [main] INFO  t.m.m.a.MapperCacheDisabler - Clear EntityHelper entityTableMap cache.
2020-11-26 22:33:36.792 [main] INFO  s.d.s.w.p.DocumentationPluginsBootstrapper - Context refreshed
2020-11-26 22:33:36.808 [main] INFO  s.d.s.w.p.DocumentationPluginsBootstrapper - Found 1 custom documentation plugin(s)
2020-11-26 22:33:36.850 [main] INFO  s.d.s.w.s.ApiListingReferenceScanner - Scanning for api listing references
2020-11-26 22:33:37.024 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8001"]
2020-11-26 22:33:37.058 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8001 (http) with context path '/news/article'
2020-11-26 22:33:37.063 [main] INFO  com.aiolos.news.ArticleApplication - Started ArticleApplication in 51.23 seconds (JVM running for 57.057)
2020-11-26 22:34:01.784 [http-nio-8001-exec-1] INFO  o.a.c.c.C.[.[.[/news/article] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2020-11-26 22:34:01.785 [http-nio-8001-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2020-11-26 22:34:01.799 [http-nio-8001-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 14 ms
2020-11-26 22:34:02.098 [http-nio-8001-exec-2] INFO  c.a.n.controller.ArticleController - Enter function createArticle, parameter newArticleBO: NewArticleBO(title=优秀工程师的成长之路就是一条不断打怪升级之路的“修仙之路”！, content=<div class="cl-preview-section" style="margin: 0px; padding: 0px; color: rgb(28, 31, 33); font-family: &quot;PingFang SC&quot;, 微软雅黑, &quot;Microsoft YaHei&quot;, Helvetica, &quot;Helvetica Neue&quot;, Tahoma, Arial, sans-serif; background-color: rgb(248, 250, 252);"><p style="margin-bottom: 0px; padding: 0px;">优秀工程师的成长之路就是一条不断打怪升级之路的“修仙之路”！</p></div><div class="cl-preview-section" style="margin: 0px; padding: 0px; color: rgb(28, 31, 33); font-family: &quot;PingFang SC&quot;, 微软雅黑, &quot;Microsoft YaHei&quot;, Helvetica, &quot;Helvetica Neue&quot;, Tahoma, Arial, sans-serif; background-color: rgb(248, 250, 252);"><p style="margin-bottom: 0px; padding: 0px;">而<a href="https://class.imooc.com/sale/javaarchitect?mc_marking=c6615303b3175f848fccdb52abb833ec&amp;mc_channel=shouji" style="outline: 0px; color: rgb(28, 31, 33);">Java程序员</a>一向比别人更难，如果说大家都在修仙的话，java程序员简直神似“剑修”，入行枯燥精通难，要想变得强大，需要能力也需要运气，更需要持之以恒。</p></div><p><br style="color: rgb(28, 31, 33); font-family: &quot;PingFang SC&quot;, 微软雅黑, &quot;Microsoft YaHei&quot;, Helvetica, &quot;Helvetica Neue&quot;, Tahoma, Arial, sans-serif; background-color: rgb(248, 250, 252);"><span style="color: rgb(28, 31, 33); font-family: &quot;PingFang SC&quot;, 微软雅黑, &quot;Microsoft YaHei&quot;, Helvetica, &quot;Helvetica Neue&quot;, Tahoma, Arial, sans-serif; background-color: rgb(248, 250, 252);">作者：慕课网官方_运营中心</span><br style="color: rgb(28, 31, 33); font-family: &quot;PingFang SC&quot;, 微软雅黑, &quot;Microsoft YaHei&quot;, Helvetica, &quot;Helvetica Neue&quot;, Tahoma, Arial, sans-serif; background-color: rgb(248, 250, 252);"><span style="color: rgb(28, 31, 33); font-family: &quot;PingFang SC&quot;, 微软雅黑, &quot;Microsoft YaHei&quot;, Helvetica, &quot;Helvetica Neue&quot;, Tahoma, Arial, sans-serif; background-color: rgb(248, 250, 252);">链接：https://www.imooc.com/article/297630</span><br style="color: rgb(28, 31, 33); font-family: &quot;PingFang SC&quot;, 微软雅黑, &quot;Microsoft YaHei&quot;, Helvetica, &quot;Helvetica Neue&quot;, Tahoma, Arial, sans-serif; background-color: rgb(248, 250, 252);"><span style="color: rgb(28, 31, 33); font-family: &quot;PingFang SC&quot;, 微软雅黑, &quot;Microsoft YaHei&quot;, Helvetica, &quot;Helvetica Neue&quot;, Tahoma, Arial, sans-serif; background-color: rgb(248, 250, 252);">来源：慕课网</span><br style="color: rgb(28, 31, 33); font-family: &quot;PingFang SC&quot;, 微软雅黑, &quot;Microsoft YaHei&quot;, Helvetica, &quot;Helvetica Neue&quot;, Tahoma, Arial, sans-serif; background-color: rgb(248, 250, 252);"><span style="color: rgb(28, 31, 33); font-family: &quot;PingFang SC&quot;, 微软雅黑, &quot;Microsoft YaHei&quot;, Helvetica, &quot;Helvetica Neue&quot;, Tahoma, Arial, sans-serif; background-color: rgb(248, 250, 252);">本文原创发布于慕课网 ，转载请注明出处，谢谢合作</span><br></p>, categoryId=11, articleType=2, articleCover=, isAppoint=0, publishTime=null, publishUserId=1316846502299172864)
2020-11-26 22:34:02.194 [http-nio-8001-exec-2] INFO  io.lettuce.core.EpollProvider - Starting without optional epoll library
2020-11-26 22:34:02.195 [http-nio-8001-exec-2] INFO  io.lettuce.core.KqueueProvider - Starting without optional kqueue library
2020-11-26 22:35:02.669 [http-nio-8001-exec-2] INFO  c.a.news.aspect.ServiceLogAspect - ============ 开始执行 class com.aiolos.news.service.impl.ArticleServiceImpl.createArticle ============
2020-11-26 22:35:03.535 [http-nio-8001-exec-2] INFO  c.a.news.aspect.ServiceLogAspect - 当前执行耗时：865
