2020-12-08 11:52:42.339 [http-nio-8005-exec-5] INFO  c.a.n.c.CategoryMngController - Enter function getCats
2020-12-08 11:54:14.382 [http-nio-8005-exec-8] INFO  c.a.n.c.CategoryMngController - Enter function getCats
2020-12-08 11:54:38.325 [http-nio-8005-exec-9] INFO  c.a.n.c.CategoryMngController - Enter function getCats
2020-12-08 11:55:57.343 [http-nio-8005-exec-1] INFO  c.a.n.c.CategoryMngController - Enter function getCats
2020-12-08 11:57:25.497 [http-nio-8005-exec-3] INFO  c.a.n.c.CategoryMngController - Enter function getCats
2020-12-08 11:58:29.336 [http-nio-8005-exec-5] INFO  c.a.n.c.CategoryMngController - Enter function getCats
2020-12-08 12:02:20.560 [http-nio-8005-exec-7] INFO  c.a.n.c.CategoryMngController - Enter function getCats
2020-12-08 12:02:20.560 [http-nio-8005-exec-8] INFO  c.a.n.c.FriendLinkController - Enter function admin/friendLinkMng/portal/list
2020-12-08 12:02:20.566 [http-nio-8005-exec-8] INFO  c.a.news.aspect.ServiceLogAspect - ============ 开始执行 class com.aiolos.news.service.impl.FriendLinkServiceImpl.queryPortalAllFriendLinkList ============
2020-12-08 12:02:20.591 [http-nio-8005-exec-8] INFO  c.a.news.aspect.ServiceLogAspect - 当前执行耗时：24
2020-12-08 12:02:26.290 [http-nio-8005-exec-9] INFO  c.a.n.c.CategoryMngController - Enter function getCats
2020-12-08 12:02:26.294 [http-nio-8005-exec-10] INFO  c.a.n.c.FriendLinkController - Enter function admin/friendLinkMng/portal/list
2020-12-08 12:02:26.294 [http-nio-8005-exec-10] INFO  c.a.news.aspect.ServiceLogAspect - ============ 开始执行 class com.aiolos.news.service.impl.FriendLinkServiceImpl.queryPortalAllFriendLinkList ============
2020-12-08 12:02:26.297 [http-nio-8005-exec-10] INFO  c.a.news.aspect.ServiceLogAspect - 当前执行耗时：3
2020-12-08 12:05:39.131 [http-nio-8005-exec-3] INFO  c.a.n.c.CategoryMngController - Enter function getCats
2020-12-08 12:05:39.132 [http-nio-8005-exec-4] INFO  c.a.n.c.FriendLinkController - Enter function admin/friendLinkMng/portal/list
2020-12-08 12:05:39.132 [http-nio-8005-exec-4] INFO  c.a.news.aspect.ServiceLogAspect - ============ 开始执行 class com.aiolos.news.service.impl.FriendLinkServiceImpl.queryPortalAllFriendLinkList ============
2020-12-08 12:05:39.137 [http-nio-8005-exec-4] INFO  c.a.news.aspect.ServiceLogAspect - 当前执行耗时：5
2020-12-08 12:05:47.473 [http-nio-8005-exec-5] INFO  c.a.n.c.CategoryMngController - Enter function getCats
2020-12-08 12:05:47.477 [http-nio-8005-exec-6] INFO  c.a.n.c.FriendLinkController - Enter function admin/friendLinkMng/portal/list
2020-12-08 12:05:47.478 [http-nio-8005-exec-6] INFO  c.a.news.aspect.ServiceLogAspect - ============ 开始执行 class com.aiolos.news.service.impl.FriendLinkServiceImpl.queryPortalAllFriendLinkList ============
2020-12-08 12:05:47.487 [http-nio-8005-exec-6] INFO  c.a.news.aspect.ServiceLogAspect - 当前执行耗时：9
2020-12-08 12:05:59.418 [http-nio-8005-exec-7] INFO  c.a.n.c.CategoryMngController - Enter function getCats
2020-12-08 12:07:04.852 [http-nio-8005-exec-10] INFO  c.a.n.c.CategoryMngController - Enter function getCats
